PURCHASE PRICE,STOCK STATUS,BEST DISTY PRICE,DISPLAY,DISPLAY IN WEBSITE,ITEM SKU,LOCATION,MANUFACTURER,MPN,OFFER SUPPORT,SALES DESCRIPTION,PURCHASE DESCRIPTION,TAX SCHEDULE,VENDOR NAME,WEIGHT,QC CODE,AVATAX TAX CODE,Preferred Vendor,VENDORS 1,VENDORS 1 CODE,Item Vendors 1 : Purchase Price,Item - Pricing : Currency (Req),UNIT PRICE
14.19,A,14.19,"Cat5e Ethernet Patch Cable, Shielded, Yellow, 3ft",N,TRD855SCRY-3,LEXAIR GREENSBORO,L-com,TRD855SCRY-3,N,"Cat5e Ethernet Patch Cable, Shielded, Yellow, 3ft","Cat5e Ethernet Patch Cable, Shielded, Yellow, 3ft",S1,TRD855SCRY-3,1,TRD855SCRY-3,P0000000,L-com,L-com,TRD855SCRY-3,14.19,USD,14.47
16.99,A,16.99,"Cat5e Ethernet Patch Cable, Shielded, Yellow, 7ft",N,TRD855SCRY-7,LEXAIR GREENSBORO,L-com,TRD855SCRY-7,N,"Cat5e Ethernet Patch Cable, Shielded, Yellow, 7ft","Cat5e Ethernet Patch Cable, Shielded, Yellow, 7ft",S1,TRD855SCRY-7,1,TRD855SCRY-7,P0000000,L-com,L-com,TRD855SCRY-7,16.99,USD,17.33
18.79,A,18.79,"Cat5e Ethernet Patch Cable, Shielded, Yellow, 10ft",N,TRD855SCRY-10,LEXAIR GREENSBORO,L-com,TRD855SCRY-10,N,"Cat5e Ethernet Patch Cable, Shielded, Yellow, 10ft","Cat5e Ethernet Patch Cable, Shielded, Yellow, 10ft",S1,TRD855SCRY-10,1,TRD855SCRY-10,P0000000,L-com,L-com,TRD855SCRY-10,18.79,USD,19.17
23.19,A,23.19,"Cat5e Ethernet Patch Cable, Shielded, Yellow, 15ft",N,TRD855SCRY-15,LEXAIR GREENSBORO,L-com,TRD855SCRY-15,N,"Cat5e Ethernet Patch Cable, Shielded, Yellow, 15ft","Cat5e Ethernet Patch Cable, Shielded, Yellow, 15ft",S1,TRD855SCRY-15,1,TRD855SCRY-15,P0000000,L-com,L-com,TRD855SCRY-15,23.19,USD,23.65
29.59,A,29.59,"Cat5e Ethernet Patch Cable, Shielded, Yellow, 20ft",N,TRD855SCRY-20,LEXAIR GREENSBORO,L-com,TRD855SCRY-20,N,"Cat5e Ethernet Patch Cable, Shielded, Yellow, 20ft","Cat5e Ethernet Patch Cable, Shielded, Yellow, 20ft",S1,TRD855SCRY-20,1,TRD855SCRY-20,P0000000,L-com,L-com,TRD855SCRY-20,29.59,USD,30.18
42.99,A,42.99,"Cat5e Ethernet Patch Cable, Shielded, Yellow, 30ft",N,TRD855SCRY-30,LEXAIR GREENSBORO,L-com,TRD855SCRY-30,N,"Cat5e Ethernet Patch Cable, Shielded, Yellow, 30ft","Cat5e Ethernet Patch Cable, Shielded, Yellow, 30ft",S1,TRD855SCRY-30,1,TRD855SCRY-30,P0000000,L-com,L-com,TRD855SCRY-30,42.99,USD,43.85
14.19,A,14.19,"Cat5e Ethernet Patch Cable, Shielded, Blue, 3ft",N,TRD855SCRBL-3,LEXAIR GREENSBORO,L-com,TRD855SCRBL-3,N,"Cat5e Ethernet Patch Cable, Shielded, Blue, 3ft","Cat5e Ethernet Patch Cable, Shielded, Blue, 3ft",S1,TRD855SCRBL-3,1,TRD855SCRBL-3,P0000000,L-com,L-com,TRD855SCRBL-3,14.19,USD,14.47
16.99,A,16.99,"Cat5e Ethernet Patch Cable, Shielded, Blue, 7ft",N,TRD855SCRBL-7,LEXAIR GREENSBORO,L-com,TRD855SCRBL-7,N,"Cat5e Ethernet Patch Cable, Shielded, Blue, 7ft","Cat5e Ethernet Patch Cable, Shielded, Blue, 7ft",S1,TRD855SCRBL-7,1,TRD855SCRBL-7,P0000000,L-com,L-com,TRD855SCRBL-7,16.99,USD,17.33
21.59,A,21.59,"Cat5e Ethernet Patch Cable, Shielded, Blue, 10ft",N,TRD855SCRBL-10,LEXAIR GREENSBORO,L-com,TRD855SCRBL-10,N,"Cat5e Ethernet Patch Cable, Shielded, Blue, 10ft","Cat5e Ethernet Patch Cable, Shielded, Blue, 10ft",S1,TRD855SCRBL-10,1,TRD855SCRBL-10,P0000000,L-com,L-com,TRD855SCRBL-10,21.59,USD,22.02
23.99,A,23.99,"Cat5e Ethernet Patch Cable, Shielded, Blue, 15ft",N,TRD855SCRBL-15,LEXAIR GREENSBORO,L-com,TRD855SCRBL-15,N,"Cat5e Ethernet Patch Cable, Shielded, Blue, 15ft","Cat5e Ethernet Patch Cable, Shielded, Blue, 15ft",S1,TRD855SCRBL-15,1,TRD855SCRBL-15,P0000000,L-com,L-com,TRD855SCRBL-15,23.99,USD,24.47
28.39,A,28.39,"Cat5e Ethernet Patch Cable, Shielded, Blue, 20ft",N,TRD855SCRBL-20,LEXAIR GREENSBORO,L-com,TRD855SCRBL-20,N,"Cat5e Ethernet Patch Cable, Shielded, Blue, 20ft","Cat5e Ethernet Patch Cable, Shielded, Blue, 20ft",S1,TRD855SCRBL-20,1,TRD855SCRBL-20,P0000000,L-com,L-com,TRD855SCRBL-20,28.39,USD,28.96
35.39,A,35.39,"Cat5e Ethernet Patch Cable, Shielded, Blue, 30ft",N,TRD855SCRBL-30,LEXAIR GREENSBORO,L-com,TRD855SCRBL-30,N,"Cat5e Ethernet Patch Cable, Shielded, Blue, 30ft","Cat5e Ethernet Patch Cable, Shielded, Blue, 30ft",S1,TRD855SCRBL-30,1,TRD855SCRBL-30,P0000000,L-com,L-com,TRD855SCRBL-30,35.39,USD,36.1
